121.1_0_331:E: Re(Ez) vs t, x=1.211e-07(m), y=0(m), z=3.31e-07(m) 

t(fs), Re(Ez)
109.409, -0.0701644
109.411, -0.070617
109.414, -0.0710504
109.416, -0.0714683
109.418, -0.071864
109.421, -0.0722439
109.423, -0.0726012
109.425, -0.0729444
109.427, -0.073273
109.43, -0.073559
109.432, -0.073832
109.434, -0.0740648
109.437, -0.0742775
109.439, -0.0744658
109.441, -0.0746174
109.443, -0.0747536
109.446, -0.0748597
109.448, -0.07492
109.45, -0.0749589
109.453, -0.0749444
109.455, -0.0749187
109.457, -0.0748539
109.46, -0.0747582
109.462, -0.0746374
109.464, -0.0744779
109.466, -0.0742748
109.469, -0.0740515
109.471, -0.0738054
109.473, -0.0735226
109.476, -0.0731938
109.478, -0.0728355
109.48, -0.0724629
109.482, -0.0720637
109.485, -0.0716281
109.487, -0.0711713
109.489, -0.0706794
109.492, -0.0701589
109.494, -0.0696266
109.496, -0.0690686
109.498, -0.0684982
109.501, -0.06789
109.503, -0.0672797
109.505, -0.0666187
109.508, -0.0659514
109.51, -0.0652859
109.512, -0.0646113
109.514, -0.0639132
109.517, -0.0632071
109.519, -0.0624813
109.521, -0.0617621
109.524, -0.0610058
109.526, -0.0602531
109.528, -0.0594892
109.53, -0.0587308
109.533, -0.0579909
109.535, -0.0572282
109.537, -0.0564627
109.54, -0.0556888
109.542, -0.0549178
109.544, -0.0541625
109.546, -0.0534145
109.549, -0.0526526
109.551, -0.0518885
109.553, -0.0511289
109.556, -0.0503931
109.558, -0.0496551
109.56, -0.0489054
109.562, -0.0481848
109.565, -0.0474597
109.567, -0.0467317
109.569, -0.0460313
109.572, -0.0453131
109.574, -0.0446184
109.576, -0.043919
109.578, -0.0432291
109.581, -0.0425506
109.583, -0.0418561
109.585, -0.0411806
109.588, -0.0404971
109.59, -0.0398247
109.592, -0.0391602
109.594, -0.0384812
109.597, -0.0378125
109.599, -0.0371417
109.601, -0.0364656
109.604, -0.035791
109.606, -0.0350898
109.608, -0.0344177
109.611, -0.0337313
109.613, -0.0330292
109.615, -0.0323357
109.617, -0.0316182
109.62, -0.0308827
109.622, -0.0301599
109.624, -0.0294104
109.627, -0.0286385
109.629, -0.027869
109.631, -0.0270743
109.633, -0.0262725
109.636, -0.025472
109.638, -0.0246377
109.64, -0.0237781
109.643, -0.0229105
109.645, -0.0220279
109.647, -0.0211291
109.649, -0.0201966
109.652, -0.0192685
109.654, -0.0183294
109.656, -0.01735
109.659, -0.0163458
109.661, -0.015334
109.663, -0.0143076
109.665, -0.0132777
109.668, -0.0122219
109.67, -0.011161
109.672, -0.0100677
109.675, -0.00897302
109.677, -0.00785925
109.679, -0.00672441
109.681, -0.00560233
109.684, -0.00444876
109.686, -0.00331789
109.688, -0.00215989
109.691, -0.00099947
109.693, 0.000173733
109.695, 0.00134033
109.697, 0.00250251
109.7, 0.00367858
109.702, 0.0048628
109.704, 0.00602186
109.707, 0.00717639
109.709, 0.00833696
109.711, 0.00951203
109.713, 0.0106669
109.716, 0.0118056
109.718, 0.0129244
109.72, 0.0140531
109.723, 0.0151611
109.725, 0.0162505
109.727, 0.0173479
109.729, 0.0184098
109.732, 0.0194881
109.734, 0.0205172
109.736, 0.0215514
109.739, 0.0225674
109.741, 0.0235601
109.743, 0.0245539
109.746, 0.0255166
109.748, 0.0264632
109.75, 0.0273937
109.752, 0.0283101
109.755, 0.0292297
